carnet,nombre,carrera,departamento,promedio
EST000000,Estudiante 0,Ingeniería en Sistemas,Sonsonate,7.42
EST000001,Estudiante 1,Administración,Santa Ana,7.33
EST000002,Estudiante 2,Ingeniería Industrial,San Miguel,8.31
EST000003,Estudiante 3,Administración,La Libertad,5.53
EST000004,Estudiante 4,Administración,La Libertad,8.77
EST000005,Estudiante 5,Ingeniería en Sistemas,La Libertad,9.2
EST000006,Estudiante 6,Contaduría,Sonsonate,7.82
EST000007,Estudiante 7,Ingeniería Industrial,Sonsonate,7.41
EST000008,Estudiante 8,Contaduría,San Salvador,7.28
EST000009,Estudiante 9,Ingeniería en Sistemas,Santa Ana,9.21
EST000010,Estudiante 10,Administración,Santa Ana,7.28
EST000011,Estudiante 11,Administración,Sonsonate,6.84
EST000012,Estudiante 12,Arquitectura,San Miguel,5.56
EST000013,Estudiante 13,Contaduría,San Salvador,9.18
EST000014,Estudiante 14,Ingeniería en Sistemas,San Salvador,5.87
EST000015,Estudiante 15,Arquitectura,Santa Ana,6.2
EST000016,Estudiante 16,Arquitectura,Sonsonate,8.34
EST000017,Estudiante 17,Administración,La Libertad,8.47
EST000018,Estudiante 18,Administración,Sonsonate,6.12
EST000019,Estudiante 19,Contaduría,Sonsonate,7.29
EST000020,Estudiante 20,Ingeniería Industrial,La Libertad,9.43
EST000021,Estudiante 21,Contaduría,San Miguel,8.22
EST000022,Estudiante 22,Administración,Santa Ana,6.83
EST000023,Estudiante 23,Administración,La Libertad,7.22
EST000024,Estudiante 24,Ingeniería Industrial,San Miguel,9.31
EST000025,Estudiante 25,Contaduría,La Libertad,7.06
EST000026,Estudiante 26,Ingeniería en Sistemas,Sonsonate,9.22
EST000027,Estudiante 27,Ingeniería Industrial,San Miguel,9.41
EST000028,Estudiante 28,Ingeniería en Sistemas,Sonsonate,7.96
EST000029,Estudiante 29,Ingeniería Industrial,Sonsonate,5.68
EST000030,Estudiante 30,Administración,Santa Ana,5.1
EST000031,Estudiante 31,Arquitectura,La Libertad,8.95
EST000032,Estudiante 32,Ingeniería en Sistemas,Sonsonate,9.4
EST000033,Estudiante 33,Arquitectura,Santa Ana,6.18
EST000034,Estudiante 34,Ingeniería Industrial,La Libertad,6.19
EST000035,Estudiante 35,Administración,La Libertad,9.72
EST000036,Estudiante 36,Administración,San Miguel,7.25
EST000037,Estudiante 37,Ingeniería en Sistemas,La Libertad,6.46
EST000038,Estudiante 38,Contaduría,La Libertad,9.23
EST000039,Estudiante 39,Administración,San Salvador,7.83
EST000040,Estudiante 40,Administración,Sonsonate,7.79
EST000041,Estudiante 41,Arquitectura,Sonsonate,9.26
EST000042,Estudiante 42,Contaduría,Santa Ana,6.33
EST000043,Estudiante 43,Ingeniería en Sistemas,San Miguel,7.51
EST000044,Estudiante 44,Ingeniería Industrial,Sonsonate,5.98
EST000045,Estudiante 45,Administración,Sonsonate,6.32
EST000046,Estudiante 46,Ingeniería Industrial,Sonsonate,6.07
EST000047,Estudiante 47,Contaduría,Santa Ana,8.29
EST000048,Estudiante 48,Contaduría,La Libertad,6.67
EST000049,Estudiante 49,Ingeniería en Sistemas,Sonsonate,7.12
EST000050,Estudiante 50,Administración,San Miguel,9.49
EST000051,Estudiante 51,Contaduría,San Miguel,9.9
EST000052,Estudiante 52,Contaduría,Santa Ana,5.85
EST000053,Estudiante 53,Contaduría,La Libertad,7.86
EST000054,Estudiante 54,Ingeniería Industrial,Sonsonate,8.93
EST000055,Estudiante 55,Administración,Santa Ana,9.61
EST000056,Estudiante 56,Administración,Sonsonate,5.2
EST000057,Estudiante 57,Contaduría,Sonsonate,5.77
EST000058,Estudiante 58,Ingeniería Industrial,Sonsonate,5.96
EST000059,Estudiante 59,Ingeniería Industrial,San Salvador,9.51
EST000060,Estudiante 60,Contaduría,Sonsonate,9.51
EST000061,Estudiante 61,Arquitectura,Sonsonate,8.67
EST000062,Estudiante 62,Contaduría,Sonsonate,7.97
EST000063,Estudiante 63,Arquitectura,San Miguel,9.01
EST000064,Estudiante 64,Ingeniería en Sistemas,Sonsonate,5.9
EST000065,Estudiante 65,Ingeniería en Sistemas,Sonsonate,5.97
EST000066,Estudiante 66,Administración,San Miguel,7.68
EST000067,Estudiante 67,Contaduría,La Libertad,5.41
EST000068,Estudiante 68,Arquitectura,Sonsonate,6.78
EST000069,Estudiante 69,Administración,Sonsonate,6.4
EST000070,Estudiante 70,Ingeniería Industrial,La Libertad,8.22
EST000071,Estudiante 71,Ingeniería Industrial,Sonsonate,8.79
EST000072,Estudiante 72,Administración,La Libertad,9.98
EST000073,Estudiante 73,Arquitectura,Sonsonate,5.29
EST000074,Estudiante 74,Contaduría,Sonsonate,8.59
EST000075,Estudiante 75,Ingeniería Industrial,San Miguel,7.28
EST000076,Estudiante 76,Ingeniería en Sistemas,Santa Ana,6.33
EST000077,Estudiante 77,Administración,La Libertad,6.42
EST000078,Estudiante 78,Arquitectura,San Salvador,8.54
EST000079,Estudiante 79,Administración,La Libertad,9.78
EST000080,Estudiante 80,Administración,San Salvador,8.61
EST000081,Estudiante 81,Administración,San Salvador,9.32
EST000082,Estudiante 82,Arquitectura,San Miguel,6.16
EST000083,Estudiante 83,Administración,San Miguel,6.24
EST000084,Estudiante 84,Ingeniería Industrial,Santa Ana,8.19
EST000085,Estudiante 85,Ingeniería en Sistemas,San Miguel,7.98
EST000086,Estudiante 86,Ingeniería en Sistemas,Santa Ana,6.97
EST000087,Estudiante 87,Contaduría,Sonsonate,7.66
EST000088,Estudiante 88,Administración,San Miguel,5.73
EST000089,Estudiante 89,Ingeniería en Sistemas,La Libertad,6.63
EST000090,Estudiante 90,Ingeniería en Sistemas,La Libertad,9.22
EST000091,Estudiante 91,Ingeniería en Sistemas,San Miguel,8.99
EST000092,Estudiante 92,Arquitectura,La Libertad,7.51
EST000093,Estudiante 93,Contaduría,San Salvador,5.4
EST000094,Estudiante 94,Ingeniería Industrial,San Salvador,6.26
EST000095,Estudiante 95,Administración,Sonsonate,7.47
EST000096,Estudiante 96,Ingeniería Industrial,San Miguel,7.23
EST000097,Estudiante 97,Arquitectura,La Libertad,7.92
EST000098,Estudiante 98,Ingeniería en Sistemas,Sonsonate,9.49
EST000099,Estudiante 99,Ingeniería Industrial,La Libertad,6.93
